Simulator streaming data to projects/project-44e3d7cf-953b-4eaa-b79/topics/ev-telemetry-raw... Press Ctrl+C to stop.
→ Published: EVSE-001 | V=389.0V | Temp=34.5C | Fault=None
→ Published: EVSE-002 | V=408.2V | Temp=43.5C | Fault=None
→ Published: EVSE-003 | V=419.7V | Temp=30.9C | Fault=None
→ Published: EVSE-004 | V=394.8V | Temp=22.4C | Fault=None
→ Published: EVSE-005 | V=410.3V | Temp=35.6C | Fault=None
→ Published: EVSE-001 | V=401.8V | Temp=28.4C | Fault=None
→ Published: EVSE-002 | V=407.5V | Temp=25.4C | Fault=None
→ Published: EVSE-003 | V=385.5V | Temp=20.6C | Fault=None
→ Published: EVSE-004 | V=408.6V | Temp=31.2C | Fault=None
→ Published: EVSE-005 | V=392.9V | Temp=43.0C | Fault=None
→ Published: EVSE-001 | V=407.2V | Temp=25.0C | Fault=None
→ Published: EVSE-002 | V=402.6V | Temp=38.3C | Fault=None
→ Published: EVSE-003 | V=405.1V | Temp=23.8C | Fault=None
→ Published: EVSE-004 | V=384.7V | Temp=31.8C | Fault=None
→ Published: EVSE-005 | V=387.5V | Temp=23.4C | Fault=None
→ Published: EVSE-001 | V=402.7V | Temp=22.3C | Fault=None
→ Published: EVSE-002 | V=414.9V | Temp=22.6C | Fault=None
→ Published: EVSE-003 | V=381.9V | Temp=34.6C | Fault=None
→ Published: EVSE-004 | V=412.1V | Temp=41.2C | Fault=None
→ Published: EVSE-005 | V=405.2V | Temp=35.0C | Fault=None
→ Published: EVSE-001 | V=396.4V | Temp=40.9C | Fault=None
→ Published: EVSE-002 | V=419.6V | Temp=40.8C | Fault=None
→ Published: EVSE-003 | V=414.9V | Temp=20.2C | Fault=None
→ Published: EVSE-004 | V=381.8V | Temp=40.4C | Fault=None
→ Published: EVSE-005 | V=413.6V | Temp=37.6C | Fault=None
→ Published: EVSE-001 | V=411.8V | Temp=33.4C | Fault=None
→ Published: EVSE-002 | V=391.7V | Temp=39.2C | Fault=None
→ Published: EVSE-003 | V=413.4V | Temp=42.1C | Fault=None
→ Published: EVSE-004 | V=402.2V | Temp=29.3C | Fault=None
→ Published: EVSE-005 | V=395.9V | Temp=36.8C | Fault=None
→ Published: EVSE-001 | V=389.0V | Temp=20.8C | Fault=None
→ Published: EVSE-002 | V=418.0V | Temp=43.6C | Fault=None
→ Published: EVSE-003 | V=399.3V | Temp=36.0C | Fault=None
→ Published: EVSE-004 | V=412.5V | Temp=42.8C | Fault=None
→ Published: EVSE-005 | V=384.6V | Temp=42.8C | Fault=None
→ Published: EVSE-001 | V=238.9V | Temp=89.9C | Fault=F001_OVERHEAT
→ Published: EVSE-002 | V=281.4V | Temp=74.8C | Fault=F001_OVERHEAT
→ Published: EVSE-003 | V=402.6V | Temp=35.9C | Fault=None
→ Published: EVSE-004 | V=407.5V | Temp=26.4C | Fault=None
→ Published: EVSE-005 | V=381.9V | Temp=29.9C | Fault=None
→ Published: EVSE-001 | V=384.8V | Temp=39.9C | Fault=None
→ Published: EVSE-002 | V=387.6V | Temp=44.5C | Fault=None
→ Published: EVSE-003 | V=381.3V | Temp=41.1C | Fault=None
→ Published: EVSE-004 | V=399.2V | Temp=40.9C | Fault=None
→ Published: EVSE-005 | V=397.5V | Temp=29.6C | Fault=None
→ Published: EVSE-001 | V=412.3V | Temp=43.2C | Fault=None
→ Published: EVSE-002 | V=416.7V | Temp=40.6C | Fault=None
→ Published: EVSE-003 | V=404.5V | Temp=43.5C | Fault=None
→ Published: EVSE-004 | V=402.1V | Temp=27.0C | Fault=None
→ Published: EVSE-005 | V=391.2V | Temp=37.3C | Fault=None
→ Published: EVSE-001 | V=417.3V | Temp=34.5C | Fault=None
→ Published: EVSE-002 | V=395.9V | Temp=42.3C | Fault=None
→ Published: EVSE-003 | V=395.7V | Temp=32.6C | Fault=None
→ Published: EVSE-004 | V=389.0V | Temp=32.7C | Fault=None
→ Published: EVSE-005 | V=410.1V | Temp=39.5C | Fault=None
→ Published: EVSE-001 | V=404.7V | Temp=37.6C | Fault=None
→ Published: EVSE-002 | V=416.4V | Temp=43.2C | Fault=None
→ Published: EVSE-003 | V=408.0V | Temp=27.3C | Fault=None
→ Published: EVSE-004 | V=415.4V | Temp=36.8C | Fault=None
→ Published: EVSE-005 | V=414.6V | Temp=27.6C | Fault=None
→ Published: EVSE-001 | V=391.9V | Temp=25.6C | Fault=None
→ Published: EVSE-002 | V=417.7V | Temp=22.7C | Fault=None
→ Published: EVSE-003 | V=406.0V | Temp=26.8C | Fault=None
→ Published: EVSE-004 | V=382.3V | Temp=40.6C | Fault=None
→ Published: EVSE-005 | V=407.3V | Temp=25.7C | Fault=None
→ Published: EVSE-001 | V=395.4V | Temp=21.9C | Fault=None
→ Published: EVSE-002 | V=406.1V | Temp=29.5C | Fault=None
→ Published: EVSE-003 | V=412.5V | Temp=26.9C | Fault=None
→ Published: EVSE-004 | V=394.6V | Temp=25.8C | Fault=None
→ Published: EVSE-005 | V=388.4V | Temp=20.7C | Fault=None
→ Published: EVSE-001 | V=393.7V | Temp=26.9C | Fault=None
→ Published: EVSE-002 | V=384.1V | Temp=35.0C | Fault=None
→ Published: EVSE-003 | V=401.8V | Temp=34.4C | Fault=None
→ Published: EVSE-004 | V=412.1V | Temp=33.5C | Fault=None
→ Published: EVSE-005 | V=418.2V | Temp=39.8C | Fault=None
→ Published: EVSE-001 | V=382.2V | Temp=35.8C | Fault=None
→ Published: EVSE-002 | V=386.2V | Temp=28.5C | Fault=None
→ Published: EVSE-003 | V=418.0V | Temp=29.4C | Fault=None
→ Published: EVSE-004 | V=409.8V | Temp=31.3C | Fault=None
→ Published: EVSE-005 | V=415.3V | Temp=34.2C | Fault=None
→ Published: EVSE-001 | V=401.3V | Temp=28.7C | Fault=None
→ Published: EVSE-002 | V=414.5V | Temp=39.4C | Fault=None
→ Published: EVSE-003 | V=401.1V | Temp=34.4C | Fault=None
→ Published: EVSE-004 | V=385.3V | Temp=34.8C | Fault=None
→ Published: EVSE-005 | V=415.9V | Temp=44.5C | Fault=None
→ Published: EVSE-001 | V=418.8V | Temp=44.4C | Fault=None
→ Published: EVSE-002 | V=415.3V | Temp=36.2C | Fault=None
→ Published: EVSE-003 | V=402.0V | Temp=26.1C | Fault=None
→ Published: EVSE-004 | V=403.6V | Temp=44.9C | Fault=None
→ Published: EVSE-005 | V=407.4V | Temp=32.4C | Fault=None
→ Published: EVSE-001 | V=387.0V | Temp=40.5C | Fault=None
→ Published: EVSE-002 | V=414.0V | Temp=41.3C | Fault=None
→ Published: EVSE-003 | V=392.5V | Temp=42.7C | Fault=None
→ Published: EVSE-004 | V=414.0V | Temp=42.9C | Fault=None
→ Published: EVSE-005 | V=407.8V | Temp=29.5C | Fault=None
→ Published: EVSE-001 | V=386.6V | Temp=27.1C | Fault=None
→ Published: EVSE-002 | V=414.2V | Temp=21.3C | Fault=None
→ Published: EVSE-003 | V=393.9V | Temp=25.9C | Fault=None
→ Published: EVSE-004 | V=408.3V | Temp=25.3C | Fault=None
→ Published: EVSE-005 | V=220.0V | Temp=68.8C | Fault=F002_UNDERVOLT
→ Published: EVSE-001 | V=383.3V | Temp=20.1C | Fault=None
→ Published: EVSE-002 | V=385.0V | Temp=37.5C | Fault=None
→ Published: EVSE-003 | V=384.3V | Temp=23.9C | Fault=None
→ Published: EVSE-004 | V=403.3V | Temp=40.9C | Fault=None
→ Published: EVSE-005 | V=388.9V | Temp=44.4C | Fault=None
→ Published: EVSE-001 | V=389.2V | Temp=21.7C | Fault=None
→ Published: EVSE-002 | V=211.1V | Temp=84.4C | Fault=F002_UNDERVOLT
→ Published: EVSE-003 | V=417.3V | Temp=22.0C | Fault=None
→ Published: EVSE-004 | V=385.1V | Temp=27.8C | Fault=None
→ Published: EVSE-005 | V=408.4V | Temp=36.6C | Fault=None
→ Published: EVSE-001 | V=416.3V | Temp=30.0C | Fault=None
→ Published: EVSE-002 | V=416.3V | Temp=28.0C | Fault=None
→ Published: EVSE-003 | V=391.5V | Temp=42.0C | Fault=None
→ Published: EVSE-004 | V=407.7V | Temp=20.3C | Fault=None
→ Published: EVSE-005 | V=389.6V | Temp=27.6C | Fault=None
→ Published: EVSE-001 | V=394.1V | Temp=39.9C | Fault=None
→ Published: EVSE-002 | V=380.8V | Temp=20.8C | Fault=None
→ Published: EVSE-003 | V=408.1V | Temp=25.2C | Fault=None
→ Published: EVSE-004 | V=409.8V | Temp=45.0C | Fault=None
→ Published: EVSE-005 | V=304.1V | Temp=85.1C | Fault=F002_UNDERVOLT
→ Published: EVSE-001 | V=407.5V | Temp=20.3C | Fault=None
→ Published: EVSE-002 | V=389.4V | Temp=25.4C | Fault=None
→ Published: EVSE-003 | V=390.2V | Temp=42.4C | Fault=None
→ Published: EVSE-004 | V=391.5V | Temp=31.3C | Fault=None
→ Published: EVSE-005 | V=405.9V | Temp=40.6C | Fault=None
→ Published: EVSE-001 | V=398.7V | Temp=43.2C | Fault=None
→ Published: EVSE-002 | V=394.6V | Temp=39.7C | Fault=None
→ Published: EVSE-003 | V=396.3V | Temp=25.8C | Fault=None
→ Published: EVSE-004 | V=403.9V | Temp=26.4C | Fault=None
→ Published: EVSE-005 | V=384.3V | Temp=41.5C | Fault=None
→ Published: EVSE-001 | V=416.9V | Temp=23.7C | Fault=None
→ Published: EVSE-002 | V=389.2V | Temp=33.6C | Fault=None
→ Published: EVSE-003 | V=407.5V | Temp=32.1C | Fault=None
→ Published: EVSE-004 | V=385.8V | Temp=23.6C | Fault=None
→ Published: EVSE-005 | V=383.8V | Temp=43.8C | Fault=None
→ Published: EVSE-001 | V=221.0V | Temp=70.9C | Fault=F001_OVERHEAT
→ Published: EVSE-002 | V=399.6V | Temp=38.9C | Fault=None
→ Published: EVSE-003 | V=403.6V | Temp=33.2C | Fault=None
→ Published: EVSE-004 | V=383.6V | Temp=24.3C | Fault=None
→ Published: EVSE-005 | V=390.0V | Temp=28.8C | Fault=None
→ Published: EVSE-001 | V=406.0V | Temp=30.2C | Fault=None
→ Published: EVSE-002 | V=394.2V | Temp=41.7C | Fault=None
→ Published: EVSE-003 | V=410.0V | Temp=30.7C | Fault=None
→ Published: EVSE-004 | V=407.2V | Temp=27.8C | Fault=None
→ Published: EVSE-005 | V=396.5V | Temp=40.8C | Fault=None
→ Published: EVSE-001 | V=414.4V | Temp=27.5C | Fault=None
→ Published: EVSE-002 | V=414.8V | Temp=27.5C | Fault=None
→ Published: EVSE-003 | V=417.1V | Temp=40.9C | Fault=None
→ Published: EVSE-004 | V=406.6V | Temp=32.3C | Fault=None
→ Published: EVSE-005 | V=386.1V | Temp=27.7C | Fault=None
→ Published: EVSE-001 | V=381.0V | Temp=27.2C | Fault=None
→ Published: EVSE-002 | V=283.0V | Temp=73.6C | Fault=F002_UNDERVOLT
→ Published: EVSE-003 | V=383.6V | Temp=39.8C | Fault=None
→ Published: EVSE-004 | V=411.2V | Temp=29.8C | Fault=None
→ Published: EVSE-005 | V=403.5V | Temp=37.6C | Fault=None
→ Published: EVSE-001 | V=397.6V | Temp=43.0C | Fault=None
→ Published: EVSE-002 | V=416.8V | Temp=34.8C | Fault=None
→ Published: EVSE-003 | V=403.0V | Temp=42.6C | Fault=None
→ Published: EVSE-004 | V=410.0V | Temp=37.0C | Fault=None
→ Published: EVSE-005 | V=385.9V | Temp=22.0C | Fault=None
→ Published: EVSE-001 | V=387.7V | Temp=26.6C | Fault=None
→ Published: EVSE-002 | V=400.1V | Temp=37.2C | Fault=None
→ Published: EVSE-003 | V=403.6V | Temp=30.5C | Fault=None
→ Published: EVSE-004 | V=404.0V | Temp=22.4C | Fault=None
→ Published: EVSE-005 | V=385.2V | Temp=42.3C | Fault=None
→ Published: EVSE-001 | V=381.0V | Temp=22.7C | Fault=None
→ Published: EVSE-002 | V=416.6V | Temp=39.9C | Fault=None
→ Published: EVSE-003 | V=401.3V | Temp=43.7C | Fault=None
→ Published: EVSE-004 | V=404.9V | Temp=20.7C | Fault=None
→ Published: EVSE-005 | V=387.7V | Temp=40.5C | Fault=None
→ Published: EVSE-001 | V=408.1V | Temp=22.7C | Fault=None
→ Published: EVSE-002 | V=403.8V | Temp=32.9C | Fault=None
→ Published: EVSE-003 | V=396.1V | Temp=29.5C | Fault=None
→ Published: EVSE-004 | V=388.7V | Temp=28.2C | Fault=None
→ Published: EVSE-005 | V=398.8V | Temp=39.7C | Fault=None
→ Published: EVSE-001 | V=404.6V | Temp=23.2C | Fault=None
→ Published: EVSE-002 | V=263.7V | Temp=88.0C | Fault=F002_UNDERVOLT
→ Published: EVSE-003 | V=398.2V | Temp=43.6C | Fault=None
→ Published: EVSE-004 | V=391.5V | Temp=32.4C | Fault=None
→ Published: EVSE-005 | V=415.1V | Temp=38.1C | Fault=None
→ Published: EVSE-001 | V=380.0V | Temp=40.7C | Fault=None
→ Published: EVSE-002 | V=311.7V | Temp=70.5C | Fault=F001_OVERHEAT
→ Published: EVSE-003 | V=380.2V | Temp=41.5C | Fault=None
→ Published: EVSE-004 | V=384.0V | Temp=43.6C | Fault=None
→ Published: EVSE-005 | V=409.5V | Temp=22.0C | Fault=None
→ Published: EVSE-001 | V=402.1V | Temp=32.6C | Fault=None
→ Published: EVSE-002 | V=382.5V | Temp=26.2C | Fault=None
→ Published: EVSE-003 | V=394.7V | Temp=22.5C | Fault=None
→ Published: EVSE-004 | V=407.6V | Temp=40.8C | Fault=None
→ Published: EVSE-005 | V=401.0V | Temp=22.8C | Fault=None
→ Published: EVSE-001 | V=387.7V | Temp=44.4C | Fault=None
→ Published: EVSE-002 | V=405.3V | Temp=32.0C | Fault=None
→ Published: EVSE-003 | V=406.3V | Temp=32.9C | Fault=None
→ Published: EVSE-004 | V=407.3V | Temp=26.1C | Fault=None
→ Published: EVSE-005 | V=418.8V | Temp=33.4C | Fault=None
→ Published: EVSE-001 | V=398.5V | Temp=27.6C | Fault=None
→ Published: EVSE-002 | V=414.6V | Temp=38.4C | Fault=None
→ Published: EVSE-003 | V=400.4V | Temp=43.6C | Fault=None
→ Published: EVSE-004 | V=392.4V | Temp=28.5C | Fault=None
→ Published: EVSE-005 | V=387.9V | Temp=25.0C | Fault=None
→ Published: EVSE-001 | V=398.2V | Temp=44.3C | Fault=None
→ Published: EVSE-002 | V=409.5V | Temp=27.5C | Fault=None
→ Published: EVSE-003 | V=388.4V | Temp=42.7C | Fault=None
→ Published: EVSE-004 | V=408.9V | Temp=38.6C | Fault=None
→ Published: EVSE-005 | V=219.7V | Temp=65.1C | Fault=F002_UNDERVOLT
→ Published: EVSE-001 | V=412.1V | Temp=42.1C | Fault=None
→ Published: EVSE-002 | V=300.3V | Temp=72.7C | Fault=F001_OVERHEAT
→ Published: EVSE-003 | V=206.5V | Temp=76.5C | Fault=F002_UNDERVOLT
→ Published: EVSE-004 | V=403.5V | Temp=25.7C | Fault=None
→ Published: EVSE-005 | V=418.2V | Temp=35.5C | Fault=None
→ Published: EVSE-001 | V=388.8V | Temp=39.4C | Fault=None
→ Published: EVSE-002 | V=394.1V | Temp=21.5C | Fault=None
→ Published: EVSE-003 | V=389.5V | Temp=27.3C | Fault=None
→ Published: EVSE-004 | V=416.7V | Temp=32.2C | Fault=None
→ Published: EVSE-005 | V=387.0V | Temp=43.6C | Fault=None
→ Published: EVSE-001 | V=398.5V | Temp=31.1C | Fault=None
→ Published: EVSE-002 | V=410.5V | Temp=29.9C | Fault=None
→ Published: EVSE-003 | V=410.3V | Temp=44.5C | Fault=None
→ Published: EVSE-004 | V=408.7V | Temp=21.4C | Fault=None
→ Published: EVSE-005 | V=412.2V | Temp=38.9C | Fault=None
→ Published: EVSE-001 | V=381.4V | Temp=27.5C | Fault=None
→ Published: EVSE-002 | V=414.3V | Temp=37.0C | Fault=None
→ Published: EVSE-003 | V=389.7V | Temp=29.5C | Fault=None
→ Published: EVSE-004 | V=386.7V | Temp=29.5C | Fault=None
→ Published: EVSE-005 | V=295.8V | Temp=77.7C | Fault=F002_UNDERVOLT
→ Published: EVSE-001 | V=239.0V | Temp=70.8C | Fault=F001_OVERHEAT
→ Published: EVSE-002 | V=396.3V | Temp=32.1C | Fault=None
→ Published: EVSE-003 | V=391.1V | Temp=38.7C | Fault=None
→ Published: EVSE-004 | V=413.8V | Temp=41.3C | Fault=None
→ Published: EVSE-005 | V=401.6V | Temp=25.0C | Fault=None
→ Published: EVSE-001 | V=382.1V | Temp=31.3C | Fault=None
→ Published: EVSE-002 | V=384.2V | Temp=21.0C | Fault=None
→ Published: EVSE-003 | V=405.5V | Temp=44.0C | Fault=None
→ Published: EVSE-004 | V=395.0V | Temp=20.8C | Fault=None
→ Published: EVSE-005 | V=415.9V | Temp=39.2C | Fault=None
→ Published: EVSE-001 | V=382.0V | Temp=41.0C | Fault=None
→ Published: EVSE-002 | V=403.2V | Temp=38.5C | Fault=None
→ Published: EVSE-003 | V=383.8V | Temp=22.3C | Fault=None
→ Published: EVSE-004 | V=412.8V | Temp=39.6C | Fault=None
→ Published: EVSE-005 | V=400.0V | Temp=22.4C | Fault=None
→ Published: EVSE-001 | V=219.5V | Temp=65.3C | Fault=F002_UNDERVOLT
→ Published: EVSE-002 | V=407.5V | Temp=31.3C | Fault=None
→ Published: EVSE-003 | V=393.1V | Temp=32.1C | Fault=None
→ Published: EVSE-004 | V=394.1V | Temp=36.8C | Fault=None
→ Published: EVSE-005 | V=389.3V | Temp=43.0C | Fault=None
→ Published: EVSE-001 | V=399.3V | Temp=29.5C | Fault=None
→ Published: EVSE-002 | V=419.9V | Temp=21.6C | Fault=None
→ Published: EVSE-003 | V=402.6V | Temp=36.3C | Fault=None
→ Published: EVSE-004 | V=394.9V | Temp=42.6C | Fault=None
→ Published: EVSE-005 | V=410.9V | Temp=30.2C | Fault=None
→ Published: EVSE-001 | V=399.2V | Temp=27.1C | Fault=None
→ Published: EVSE-002 | V=393.2V | Temp=24.5C | Fault=None
→ Published: EVSE-003 | V=400.1V | Temp=28.3C | Fault=None
→ Published: EVSE-004 | V=398.0V | Temp=25.4C | Fault=None
→ Published: EVSE-005 | V=389.1V | Temp=42.7C | Fault=None
→ Published: EVSE-001 | V=402.7V | Temp=25.3C | Fault=None
→ Published: EVSE-002 | V=414.8V | Temp=33.4C | Fault=None
→ Published: EVSE-003 | V=391.4V | Temp=34.3C | Fault=None
→ Published: EVSE-004 | V=410.2V | Temp=25.9C | Fault=None
→ Published: EVSE-005 | V=415.2V | Temp=27.9C | Fault=None
→ Published: EVSE-001 | V=397.6V | Temp=36.0C | Fault=None
→ Published: EVSE-002 | V=407.7V | Temp=22.2C | Fault=None
→ Published: EVSE-003 | V=400.7V | Temp=44.4C | Fault=None
→ Published: EVSE-004 | V=404.6V | Temp=39.1C | Fault=None
→ Published: EVSE-005 | V=386.9V | Temp=26.1C | Fault=None
→ Published: EVSE-001 | V=389.3V | Temp=23.6C | Fault=None
→ Published: EVSE-002 | V=380.1V | Temp=26.3C | Fault=None
→ Published: EVSE-003 | V=401.6V | Temp=22.6C | Fault=None
→ Published: EVSE-004 | V=397.9V | Temp=28.1C | Fault=None
→ Published: EVSE-005 | V=387.3V | Temp=20.8C | Fault=None
→ Published: EVSE-001 | V=402.8V | Temp=25.0C | Fault=None
→ Published: EVSE-002 | V=395.2V | Temp=26.4C | Fault=None
→ Published: EVSE-003 | V=402.5V | Temp=31.3C | Fault=None
→ Published: EVSE-004 | V=319.2V | Temp=83.8C | Fault=F001_OVERHEAT
→ Published: EVSE-005 | V=415.4V | Temp=30.1C | Fault=None
→ Published: EVSE-001 | V=397.0V | Temp=35.8C | Fault=None
→ Published: EVSE-002 | V=392.1V | Temp=22.2C | Fault=None
→ Published: EVSE-003 | V=412.2V | Temp=23.8C | Fault=None
→ Published: EVSE-004 | V=385.9V | Temp=42.5C | Fault=None
→ Published: EVSE-005 | V=400.4V | Temp=42.3C | Fault=None
→ Published: EVSE-001 | V=415.6V | Temp=21.2C | Fault=None
→ Published: EVSE-002 | V=388.7V | Temp=24.7C | Fault=None
→ Published: EVSE-003 | V=406.7V | Temp=33.5C | Fault=None
→ Published: EVSE-004 | V=409.8V | Temp=33.7C | Fault=None
→ Published: EVSE-005 | V=384.0V | Temp=33.3C | Fault=None
→ Published: EVSE-001 | V=406.4V | Temp=44.1C | Fault=None
→ Published: EVSE-002 | V=416.8V | Temp=36.9C | Fault=None
→ Published: EVSE-003 | V=401.9V | Temp=40.8C | Fault=None
→ Published: EVSE-004 | V=416.3V | Temp=39.6C | Fault=None
→ Published: EVSE-005 | V=389.1V | Temp=22.7C | Fault=None
→ Published: EVSE-001 | V=395.6V | Temp=29.0C | Fault=None
→ Published: EVSE-002 | V=380.4V | Temp=24.8C | Fault=None
→ Published: EVSE-003 | V=411.2V | Temp=34.7C | Fault=None
→ Published: EVSE-004 | V=387.3V | Temp=30.2C | Fault=None
→ Published: EVSE-005 | V=390.9V | Temp=41.9C | Fault=None
→ Published: EVSE-001 | V=385.9V | Temp=44.9C | Fault=None
→ Published: EVSE-002 | V=307.0V | Temp=65.4C | Fault=F002_UNDERVOLT
→ Published: EVSE-003 | V=418.6V | Temp=27.8C | Fault=None
→ Published: EVSE-004 | V=409.7V | Temp=25.0C | Fault=None
→ Published: EVSE-005 | V=417.7V | Temp=41.3C | Fault=None
→ Published: EVSE-001 | V=402.3V | Temp=39.9C | Fault=None
→ Published: EVSE-002 | V=382.3V | Temp=42.3C | Fault=None
→ Published: EVSE-003 | V=391.6V | Temp=32.9C | Fault=None
→ Published: EVSE-004 | V=391.7V | Temp=35.4C | Fault=None
→ Published: EVSE-005 | V=395.8V | Temp=21.7C | Fault=None
→ Published: EVSE-001 | V=415.7V | Temp=42.4C | Fault=None
→ Published: EVSE-002 | V=408.4V | Temp=44.6C | Fault=None
→ Published: EVSE-003 | V=395.3V | Temp=43.3C | Fault=None
→ Published: EVSE-004 | V=413.8V | Temp=25.9C | Fault=None
→ Published: EVSE-005 | V=418.3V | Temp=28.0C | Fault=None
→ Published: EVSE-001 | V=414.2V | Temp=40.3C | Fault=None
→ Published: EVSE-002 | V=383.4V | Temp=20.6C | Fault=None
→ Published: EVSE-003 | V=389.6V | Temp=39.8C | Fault=None
→ Published: EVSE-004 | V=412.7V | Temp=23.8C | Fault=None
→ Published: EVSE-005 | V=396.3V | Temp=35.6C | Fault=None
→ Published: EVSE-001 | V=385.4V | Temp=42.8C | Fault=None
→ Published: EVSE-002 | V=416.2V | Temp=24.9C | Fault=None
→ Published: EVSE-003 | V=403.6V | Temp=29.6C | Fault=None
→ Published: EVSE-004 | V=413.9V | Temp=28.6C | Fault=None
→ Published: EVSE-005 | V=393.6V | Temp=31.5C | Fault=None
→ Published: EVSE-001 | V=320.3V | Temp=69.0C | Fault=F002_UNDERVOLT
→ Published: EVSE-002 | V=399.1V | Temp=38.2C | Fault=None
→ Published: EVSE-003 | V=407.2V | Temp=36.9C | Fault=None
→ Published: EVSE-004 | V=395.0V | Temp=33.6C | Fault=None
→ Published: EVSE-005 | V=302.2V | Temp=82.0C | Fault=F002_UNDERVOLT
→ Published: EVSE-001 | V=418.2V | Temp=40.8C | Fault=None
→ Published: EVSE-002 | V=400.9V | Temp=26.2C | Fault=None
→ Published: EVSE-003 | V=406.4V | Temp=37.1C | Fault=None
→ Published: EVSE-004 | V=382.7V | Temp=22.7C | Fault=None
→ Published: EVSE-005 | V=393.5V | Temp=42.1C | Fault=None
→ Published: EVSE-001 | V=406.4V | Temp=32.5C | Fault=None
→ Published: EVSE-002 | V=399.9V | Temp=43.3C | Fault=None
→ Published: EVSE-003 | V=406.4V | Temp=43.4C | Fault=None
→ Published: EVSE-004 | V=407.7V | Temp=24.4C | Fault=None
→ Published: EVSE-005 | V=392.8V | Temp=22.8C | Fault=None
→ Published: EVSE-001 | V=418.1V | Temp=25.4C | Fault=None
→ Published: EVSE-002 | V=399.6V | Temp=40.2C | Fault=None
→ Published: EVSE-003 | V=395.0V | Temp=33.4C | Fault=None
→ Published: EVSE-004 | V=416.0V | Temp=40.7C | Fault=None
→ Published: EVSE-005 | V=400.4V | Temp=31.7C | Fault=None
→ Published: EVSE-001 | V=402.6V | Temp=40.3C | Fault=None
→ Published: EVSE-002 | V=386.7V | Temp=29.0C | Fault=None
→ Published: EVSE-003 | V=396.1V | Temp=40.6C | Fault=None
→ Published: EVSE-004 | V=414.3V | Temp=20.5C | Fault=None
→ Published: EVSE-005 | V=383.0V | Temp=39.8C | Fault=None
→ Published: EVSE-001 | V=416.5V | Temp=43.6C | Fault=None
→ Published: EVSE-002 | V=399.4V | Temp=27.1C | Fault=None
→ Published: EVSE-003 | V=402.3V | Temp=24.8C | Fault=None
→ Published: EVSE-004 | V=407.3V | Temp=34.5C | Fault=None
→ Published: EVSE-005 | V=383.0V | Temp=44.0C | Fault=None
→ Published: EVSE-001 | V=402.1V | Temp=26.4C | Fault=None
→ Published: EVSE-002 | V=398.3V | Temp=34.9C | Fault=None
→ Published: EVSE-003 | V=401.5V | Temp=24.4C | Fault=None
→ Published: EVSE-004 | V=381.7V | Temp=41.5C | Fault=None
→ Published: EVSE-005 | V=388.1V | Temp=22.8C | Fault=None
→ Published: EVSE-001 | V=401.8V | Temp=44.2C | Fault=None
→ Published: EVSE-002 | V=401.4V | Temp=21.4C | Fault=None
→ Published: EVSE-003 | V=393.5V | Temp=36.6C | Fault=None
→ Published: EVSE-004 | V=387.2V | Temp=23.3C | Fault=None
→ Published: EVSE-005 | V=406.6V | Temp=32.8C | Fault=None
→ Published: EVSE-001 | V=405.9V | Temp=36.7C | Fault=None
→ Published: EVSE-002 | V=403.3V | Temp=44.4C | Fault=None
→ Published: EVSE-003 | V=405.5V | Temp=23.2C | Fault=None
→ Published: EVSE-004 | V=418.4V | Temp=31.8C | Fault=None
→ Published: EVSE-005 | V=401.4V | Temp=37.4C | Fault=None
→ Published: EVSE-001 | V=392.1V | Temp=34.3C | Fault=None
→ Published: EVSE-002 | V=395.5V | Temp=31.9C | Fault=None
→ Published: EVSE-003 | V=396.1V | Temp=29.5C | Fault=None
→ Published: EVSE-004 | V=401.1V | Temp=39.4C | Fault=None
→ Published: EVSE-005 | V=405.4V | Temp=20.5C | Fault=None
→ Published: EVSE-001 | V=401.0V | Temp=41.3C | Fault=None
→ Published: EVSE-002 | V=416.1V | Temp=41.4C | Fault=None
→ Published: EVSE-003 | V=394.7V | Temp=23.8C | Fault=None
→ Published: EVSE-004 | V=390.4V | Temp=41.4C | Fault=None
→ Published: EVSE-005 | V=401.0V | Temp=26.4C | Fault=None
→ Published: EVSE-001 | V=383.8V | Temp=23.2C | Fault=None
→ Published: EVSE-002 | V=404.7V | Temp=34.5C | Fault=None
→ Published: EVSE-003 | V=411.4V | Temp=28.6C | Fault=None
→ Published: EVSE-004 | V=380.8V | Temp=37.8C | Fault=None
→ Published: EVSE-005 | V=416.3V | Temp=32.9C | Fault=None
→ Published: EVSE-001 | V=411.1V | Temp=38.9C | Fault=None
→ Published: EVSE-002 | V=240.3V | Temp=82.8C | Fault=F002_UNDERVOLT
→ Published: EVSE-003 | V=395.4V | Temp=33.4C | Fault=None
→ Published: EVSE-004 | V=398.4V | Temp=31.0C | Fault=None
→ Published: EVSE-005 | V=401.1V | Temp=27.3C | Fault=None
→ Published: EVSE-001 | V=414.4V | Temp=42.7C | Fault=None
→ Published: EVSE-002 | V=383.9V | Temp=32.9C | Fault=None
→ Published: EVSE-003 | V=396.1V | Temp=25.0C | Fault=None
→ Published: EVSE-004 | V=398.0V | Temp=39.8C | Fault=None
→ Published: EVSE-005 | V=380.8V | Temp=21.8C | Fault=None
→ Published: EVSE-001 | V=388.9V | Temp=37.6C | Fault=None
→ Published: EVSE-002 | V=413.1V | Temp=26.8C | Fault=None
